Zone,mag1,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag10,mag11,mag12,mag13,mag14,mag15,mag16,mag17,mag18,mag19,mag20,mag21,mag22,mag23,mag24,mag25,mag26,mag27,mag28,mag29,mag30,mag31,mag32,mag33,mag34,mag35,mag36,mag37,mag38,mag39,mag40,mag41,mag42,mag43,mag44,mag45,mag46,mag47,mag48,mag49,mag50,mag51,mag52
1,13.41640786,13.41640786,13,13.41640786,13,12.08304597,12.08304597,11.70469991,11.70469991,10.77032961,11.70469991,11.40175425,11.40175425,10.44030651,10.44030651,10.19803903,10.04987562,9.055385138,10.04987562,10,10,10.04987562,9,10.19803903,10.19803903,10.04987562,10.19803903,11.18033989,11.18033989,10.44030651,11.18033989,11.18033989,11.18033989,11.18033989,11.18033989,11.04536102,12.04159458,11.04536102,11.04536102,11,10.04987562,10.04987562,10.04987562,9.055385138,9.219544457,9.219544457,9.486832981,8.544003745,8.544003745,8.94427191,8.062257748,7.211102551
1,12.04159458,12.08304597,12.08304597,12.64911064,11.70469991,11.70469991,11.18033989,11.18033989,10.29563014,11.18033989,11.18033989,10.29563014,10.29563014,9.433981132,9.433981132,10,9.219544457,9.899494937,8.485281374,9.899494937,9.219544457,9.219544457,9.219544457,10,10,9.433981132,10.29563014,10.29563014,10.29563014,11.18033989,10.81665383,10.81665383,11.66190379,9.433981132,10.81665383,10.81665383,11.40175425,10.63014581,10.63014581,9.899494937,9.899494937,9.899494937,10.63014581,8.485281374,8.602325267,8.602325267,8.602325267,8.94427191,8.94427191,8.544003745,7.280109889,7.280109889
1,11.04536102,11.70469991,12.08304597,11.18033989,12.08304597,11.18033989,11.66190379,11.18033989,10.29563014,10.29563014,10.81665383,10.81665383,10,10,9.433981132,9.899494937,9.899494937,9.899494937,9.219544457,9.219544457,9.219544457,8.602325267,8.602325267,9.433981132,9.433981132,9.433981132,10.29563014,10.29563014,10.29563014,11.18033989,10.29563014,10.81665383,10.81665383,10.81665383,10.29563014,10.81665383,11.40175425,10.63014581,10.63014581,10.63014581,9.899494937,9.899494937,10.63014581,9.219544457,9.219544457,8.602325267,8.602325267,8.94427191,8.544003745,8.544003745,7.280109889,7.280109889
1,12.04159458,11.18033989,11.40175425,12.16552506,11.18033989,11.18033989,10.19803903,10.19803903,10.19803903,10.44030651,10.44030651,9.486832981,9.486832981,9.848857802,9.486832981,9.433981132,8.94427191,8.94427191,8.602325267,8.602325267,8.602325267,9.219544457,8.602325267,9.899494937,9.899494937,9.899494937,9.219544457,10.63014581,10.63014581,10.63014581,9.899494937,11.3137085,11.3137085,9.899494937,10.63014581,10.63014581,10.63014581,10.81665383,10,10.81665383,9.433981132,9.433981132,10.29563014,8.94427191,8.544003745,8.544003745,8.246211251,8.246211251,8.246211251,8.062257748,8,7
1,5.099019514,11.18033989,10.77032961,10.77032961,10.77032961,10.77032961,10.77032961,9.848857802,9.848857802,9.486832981,9.486832981,10.19803903,9.219544457,9.219544457,9.219544457,9.055385138,9,8.062257748,8,9,8,9.055385138,8.062257748,9.219544457,9.219544457,9.219544457,10.44030651,10.19803903,10.44030651,10.44030651,10.19803903,10.19803903,10.19803903,10.19803903,10.19803903,10.19803903,11.18033989,11.04536102,10,10,10,10.04987562,9,9.055385138,8.062257748,8.246211251,8.246211251,7.615773106,7.615773106,7.615773106,7.211102551,7.211102551
1,6.08276253,11.66190379,11.18033989,12.20655562,11.66190379,11.66190379,11.18033989,10.29563014,11.18033989,10.77032961,10.77032961,10.77032961,10.77032961,10.44030651,9.486832981,11.18033989,11.18033989,10.19803903,10.04987562,10.04987562,10.04987562,10,10,11.04536102,11.04536102,11.04536102,11.18033989,12.04159458,13.15294644,12.16552506,12.04159458,12.04159458,12.04159458,12.04159458,12.04159458,12.04159458,12,12,12,11.04536102,10.04987562,11,11.04536102,10.04987562,10.04987562,9.055385138,9.219544457,8.544003745,8.544003745,8.94427191,8.062257748,7.211102551
1,5.099019514,10.29563014,9.848857802,11.18033989,9.848857802,10.29563014,10.29563014,9.848857802,9.848857802,9.848857802,10.77032961,10.44030651,9.486832981,9.219544457,9.219544457,9.055385138,10.04987562,9.055385138,9,9,9,9.055385138,9.055385138,10.19803903,10.04987562,10.19803903,10.44030651,11.18033989,11.40175425,10.44030651,10.19803903,11.18033989,10.04987562,11.18033989,10.19803903,11.18033989,11.18033989,11.04536102,10.04987562,10,10,10.04987562,9.055385138,9.055385138,9.055385138,8.062257748,8.246211251,8.544003745,7.615773106,7.615773106,6.708203932,7.211102551
1,10.04987562,11.66190379,11.66190379,11.66190379,11.66190379,10.29563014,11.66190379,10.29563014,11.18033989,11.18033989,10.77032961,10.77032961,10.77032961,10.44030651,9.486832981,11.18033989,10.19803903,10.19803903,10.04987562,10.04987562,10.04987562,10,10.04987562,11,11,11.04536102,11.04536102,12.04159458,12.16552506,12.16552506,11.04536102,12.04159458,12.04159458,12,12,12,12,11,11,11.04536102,11.04536102,11.18033989,11.18033989,10.19803903,10.19803903,9.219544457,9.486832981,9.486832981,9.486832981,8.544003745,8.602325267,7.810249676
1,8.062257748,9.433981132,8.94427191,10.29563014,10.29563014,8.94427191,8.94427191,8.94427191,8.94427191,8.544003745,8.544003745,9.486832981,8.544003745,8.246211251,8.246211251,8.246211251,9.055385138,8.062257748,8,8.062257748,8,9,8,9.055385138,9.055385138,10.04987562,10.19803903,10.19803903,11.18033989,10.19803903,10.19803903,10.04987562,10.19803903,10.04987562,10.04987562,10.04987562,10,10.04987562,9,10,9.055385138,9.055385138,9,8.062257748,8.062257748,7.071067812,7.280109889,8.246211251,7.280109889,7.615773106,7.211102551,6.403124237
1,7.071067812,8.062257748,8.94427191,8.94427191,8.94427191,8.062257748,8.544003745,8.544003745,8.544003745,7.615773106,8.544003745,8.246211251,8.246211251,8.246211251,8.246211251,8.062257748,8.062257748,8,8,8,8,9.055385138,8.062257748,9.219544457,9.219544457,9.055385138,9.219544457,10.19803903,10.19803903,9.486832981,9.219544457,10.19803903,9.219544457,9.219544457,9.055385138,10.04987562,9.055385138,9.055385138,9.055385138,9.055385138,9,8,9,8,7.071067812,7.071067812,7.280109889,7.071067812,7.280109889,7.280109889,6.708203932,5.830951895
