,Zone,seq,timestamp,taget_seq,taget,mac,rssi,rate,sig_mode,mcs,cwb,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel_primary,channel_secondary,local_timestamp,ant,sig_len,rx_state,len,first_word_invalid,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,1,6423,18:13.6,20,move,1a:00:00:00:00:00,-43,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67320678,0,44,0,104,0,-12,-6,-12,-6,-12,-5,-12,-6,-12,-5,-11,-5,-11,-5,-11,-4,-11,-4,-10,-4,-11,-4,-11,-3,-11,-3,-10,-3,-10,-3,-10,-2,-10,-1,-9,-1,-10,-1,-10,0,-10,0,-10,1,-9,0,-10,2,-10,2,-10,1,-10,2,-11,2,-11,2,-10,3,-11,2,-11,2,-11,2,-11,2,-11,2,-11,1,-12,1,-11,1,-11,1,-11,0,-10,-1,-10,-1,-10,-1,-9,-1,-9,-2,-9,-2,-9,-3,-8,-3,-8,-3,-8,-4,-7,-4,-6,-4
CSI_DATA,1,6424,18:13.6,20,move,1a:00:00:00:00:00,-43,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67330293,0,44,0,104,0,-12,4,-11,5,-11,5,-12,4,-11,4,-11,4,-10,5,-10,5,-9,5,-10,5,-10,5,-9,5,-9,5,-8,5,-8,5,-8,6,-7,6,-7,7,-6,6,-7,7,-6,7,-6,7,-6,7,-6,8,-6,8,-5,8,-5,9,-5,9,-5,9,-5,10,-6,9,-6,9,-6,10,-5,8,-6,9,-6,9,-7,9,-7,8,-7,8,-7,7,-7,7,-7,7,-8,7,-6,6,-7,5,-7,5,-7,5,-8,4,-8,4,-8,3,-7,2,-7,2
CSI_DATA,1,6425,18:13.6,20,move,1a:00:00:00:00:00,-43,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67339950,0,44,0,104,0,-11,5,-11,4,-11,5,-10,5,-11,5,-10,5,-10,6,-10,5,-9,5,-9,5,-9,6,-9,6,-8,6,-8,6,-8,5,-7,7,-7,7,-7,7,-6,7,-6,7,-6,7,-5,7,-5,7,-5,8,-5,8,-5,8,-5,9,-5,9,-5,9,-5,10,-5,9,-6,9,-6,9,-6,9,-5,9,-6,9,-7,9,-7,8,-7,8,-7,8,-7,7,-7,7,-8,7,-7,6,-7,6,-7,5,-7,5,-8,4,-8,3,-8,3,-7,2,-7,2
CSI_DATA,1,6426,18:13.6,20,move,1a:00:00:00:00:00,-43,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67350925,0,44,0,104,0,-12,2,-11,2,-11,3,-12,2,-11,2,-11,2,-10,2,-10,2,-10,2,-10,3,-10,3,-9,3,-9,3,-9,4,-9,3,-8,5,-8,4,-8,4,-7,5,-7,5,-7,5,-7,6,-7,5,-7,7,-7,7,-7,7,-6,7,-7,8,-7,8,-7,8,-7,7,-8,8,-8,8,-7,7,-8,7,-8,7,-8,7,-9,6,-8,6,-9,6,-8,5,-8,5,-9,5,-8,4,-8,3,-8,3,-8,2,-8,2,-8,2,-8,1,-8,0,-7,0
CSI_DATA,1,6427,18:13.6,20,move,1a:00:00:00:00:00,-43,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67361502,0,44,0,104,0,-5,10,-5,10,-4,10,-4,10,-4,10,-4,10,-4,10,-4,9,-4,9,-3,9,-3,9,-2,10,-2,9,-2,9,-2,9,-1,9,0,9,-1,8,0,8,0,9,0,8,1,9,1,8,2,9,2,9,2,9,3,10,2,10,3,10,3,10,2,10,2,10,2,10,2,10,2,10,2,10,2,11,1,11,0,10,0,10,0,10,-1,10,0,9,-1,9,-1,8,-2,8,-2,8,-3,7,-3,7,-3,7,-4,6,-4,6
CSI_DATA,1,6428,18:13.6,20,move,1a:00:00:00:00:00,-43,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67377145,0,44,0,104,0,6,-10,6,-10,5,-10,7,-10,6,-10,6,-10,5,-10,5,-9,5,-10,4,-10,4,-10,4,-10,4,-10,3,-10,3,-9,2,-11,2,-11,2,-10,1,-10,1,-10,1,-10,0,-10,0,-10,-1,-11,-1,-11,-1,-11,-2,-11,-1,-12,-2,-13,-2,-12,-1,-12,-1,-12,-1,-12,-1,-12,-1,-12,-1,-12,0,-12,0,-12,0,-12,1,-11,1,-10,0,-11,1,-11,1,-10,1,-10,1,-9,2,-9,3,-8,3,-8,4,-8,4,-7,4,-6
CSI_DATA,1,6429,18:13.6,20,move,1a:00:00:00:00:00,-43,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67381163,0,44,0,104,0,-5,10,-5,9,-4,9,-5,10,-4,9,-5,9,-5,9,-4,9,-4,9,-4,9,-4,10,-3,10,-3,9,-2,9,-2,9,-1,9,-1,10,-1,9,0,9,0,9,0,9,1,9,1,9,2,10,1,10,2,10,3,10,2,11,3,11,3,10,2,10,2,11,1,10,2,11,2,10,2,11,2,11,1,11,1,10,0,10,0,10,-1,10,-1,9,-1,9,-1,9,-1,8,-2,8,-3,8,-3,7,-3,7,-3,6,-4,6
CSI_DATA,1,6430,18:13.6,20,move,1a:00:00:00:00:00,-43,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67389943,0,44,0,104,0,-10,-6,-10,-6,-10,-6,-10,-6,-10,-6,-9,-5,-10,-6,-9,-5,-10,-5,-10,-5,-10,-4,-10,-4,-10,-4,-10,-3,-9,-3,-11,-2,-10,-2,-10,-2,-10,-1,-10,-1,-10,-1,-10,0,-10,-1,-11,0,-11,0,-11,1,-11,1,-12,1,-12,2,-12,2,-11,1,-12,1,-12,1,-12,0,-12,0,-12,0,-12,0,-11,0,-11,0,-11,-1,-11,-1,-11,-2,-11,-2,-10,-2,-10,-2,-9,-2,-9,-3,-9,-3,-9,-3,-8,-3,-7,-5,-6,-5
CSI_DATA,1,6431,18:13.6,20,move,1a:00:00:00:00:00,-44,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67400088,0,44,0,104,0,8,5,8,5,8,4,9,5,9,5,8,4,8,4,8,4,8,4,8,3,8,3,9,3,8,3,8,2,8,2,8,2,9,1,8,1,8,0,8,1,8,0,9,0,8,0,9,-1,9,-1,10,-1,10,-2,10,-2,11,-2,10,-2,10,-2,10,-1,10,-2,10,-1,10,-1,10,-1,10,0,10,-1,9,0,10,0,9,1,9,1,9,0,8,1,8,1,7,1,7,2,8,2,7,2,7,3,6,4,5,4
CSI_DATA,1,6432,18:13.7,20,move,1a:00:00:00:00:00,-44,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67410396,0,44,0,104,0,7,4,7,4,8,4,8,4,8,4,7,4,8,3,8,3,8,3,7,3,8,3,8,2,8,2,8,2,8,2,8,1,8,1,8,0,8,0,8,0,8,0,9,-1,8,-1,9,-2,9,-2,9,-1,9,-2,10,-2,10,-2,9,-3,9,-2,10,-2,9,-2,9,-2,9,-1,10,-1,9,-1,9,-1,9,-1,9,-1,9,0,8,0,9,0,8,0,7,1,7,1,7,2,7,1,7,2,7,2,6,3,5,3
