Zone,mag1,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag10,mag11,mag12,mag13,mag14,mag15,mag16,mag17,mag18,mag19,mag20,mag21,mag22,mag23,mag24,mag25,mag26,mag27,mag28,mag29,mag30,mag31,mag32,mag33,mag34,mag35,mag36,mag37,mag38,mag39,mag40,mag41,mag42,mag43,mag44,mag45,mag46,mag47,mag48,mag49,mag50,mag51,mag52
1,11.40175425,12.36931688,11.70469991,12.64911064,12.36931688,12.36931688,12.64911064,12.64911064,12.64911064,12.36931688,12.64911064,12.64911064,12.64911064,11.70469991,12.64911064,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,11.70469991,12.08304597,11.18033989,11.18033989,11.18033989,11.66190379,11.66190379,11.18033989,11.66190379,10.81665383,10.81665383,10.29563014,10.81665383,10.81665383,10.81665383,10.81665383,10.81665383,10.81665383,10.81665383,10.81665383,10.29563014,10.29563014,10.29563014,10.29563014,10.29563014,9.848857802,9.848857802,9.848857802,9.486832981,9.486832981,10.19803903,9.055385138
1,11.70469991,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,11.70469991,12.52996409,11.66190379,11.66190379,11.18033989,11.18033989,11.18033989,11.18033989,10.29563014,10.29563014,11.18033989,10.29563014,10.81665383,10.29563014,10.81665383,10,9.433981132,10,10,9.433981132,10,9.433981132,9.433981132,9.433981132,9.433981132,9.433981132,9.433981132,9.433981132,9.433981132,9.433981132,8.94427191,8.94427191,8.544003745,8.544003745,8.544003745,9.219544457,9.219544457,8.062257748
1,13.03840481,12.20655562,13.03840481,13.03840481,13.03840481,13.03840481,13.03840481,12.20655562,13.03840481,13.03840481,13.03840481,12.20655562,12.20655562,12.20655562,11.66190379,12.20655562,11.40175425,12.20655562,12.20655562,11.66190379,11.66190379,10.81665383,10.81665383,10.81665383,10.81665383,10,10,10,10,9.899494937,9.219544457,8.94427191,9.219544457,9.219544457,9.219544457,9.219544457,9.219544457,9.219544457,8.602325267,7.810249676,8.602325267,8.602325267,9.219544457,8.602325267,8.602325267,8.602325267,8.062257748,8.062257748,8.062257748,7.615773106,8.544003745,7.280109889
1,13.89244399,13.41640786,13.41640786,13.41640786,13.41640786,12.52996409,13.41640786,12.52996409,12.52996409,13.41640786,12.52996409,12.52996409,12.52996409,12.08304597,12.52996409,13.41640786,12.08304597,12.08304597,12.08304597,12.52996409,11.66190379,12.52996409,11.18033989,11.18033989,11.18033989,10.29563014,9.848857802,11.18033989,10.77032961,9.848857802,9.848857802,9.848857802,9.848857802,9.848857802,9.848857802,8.94427191,8.94427191,8.94427191,8.94427191,8.94427191,8.94427191,8.544003745,8.94427191,7.615773106,8.062257748,8.062257748,8.602325267,8.602325267,7.810249676,7.810249676,7.810249676,7.071067812
1,13,13,12.08304597,13,13,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,12.08304597,12.52996409,11.18033989,11.18033989,11.18033989,11.18033989,10.77032961,11.18033989,9.848857802,10.29563014,9.848857802,10.29563014,9.433981132,9.848857802,8.94427191,9.433981132,8.94427191,11.3137085,8.062257748,8.062257748,8.062257748,8.062257748,8.062257748,8.062257748,8.062257748,8.062257748,8.062257748,8.062257748,7.211102551,7.211102551,7.615773106,7.615773106,7.615773106,7.280109889,7.280109889,7.280109889,7.071067812,7.071067812
1,13.15294644,12.36931688,13.60147051,12.36931688,13.34166406,12.16552506,12.36931688,12.16552506,12.16552506,12.36931688,12.16552506,12.36931688,11.18033989,11.40175425,11.18033989,12.64911064,11.40175425,11.40175425,10.44030651,11.40175425,10.19803903,10.44030651,10.19803903,10.44030651,10.19803903,9.219544457,9.219544457,9.486832981,8.544003745,9.486832981,8.544003745,6.708203932,8.544003745,8.246211251,8.544003745,8.246211251,8.246211251,8.246211251,7.280109889,7.615773106,8.246211251,7.280109889,8.246211251,7.280109889,7.280109889,7.071067812,7.071067812,7.071067812,7,7,7,6.08276253
1,12.04159458,11.3137085,12.04159458,11.3137085,11.3137085,11.3137085,11.3137085,11.3137085,11.3137085,11.3137085,11.3137085,10.63014581,9.899494937,10.63014581,9.899494937,10.63014581,10,10,9.219544457,9.899494937,9.219544457,8.485281374,9.219544457,9.219544457,8.485281374,8.602325267,7.810249676,7.810249676,7.810249676,8.062257748,7.211102551,8.602325267,7.211102551,7.211102551,7.211102551,7.211102551,7.211102551,6.403124237,6.403124237,6.403124237,7.211102551,6.403124237,6.403124237,6.403124237,6.403124237,6.403124237,6.403124237,6.403124237,6.403124237,6.403124237,5.830951895,5.830951895
1,12.80624847,12.20655562,12.20655562,11.40175425,11.40175425,11.40175425,11.40175425,11.40175425,11.40175425,10,11.40175425,10.81665383,10,10,10,10.81665383,10.81665383,9.433981132,9.433981132,10,9.219544457,8.602325267,8.602325267,8.602325267,8.602325267,8.062257748,8.062257748,8.062257748,8.062257748,7.615773106,7.615773106,6.708203932,7.615773106,7.615773106,7.615773106,7.615773106,7.615773106,6.708203932,6.708203932,6.708203932,6.708203932,6.708203932,6.708203932,6.708203932,6.708203932,6.708203932,6.403124237,6.403124237,6.403124237,5.830951895,5.656854249,5.656854249
1,11.66190379,11.66190379,10.29563014,11.66190379,10.81665383,10.81665383,10.81665383,10.81665383,10.81665383,9.433981132,10.29563014,10.29563014,9.433981132,9.433981132,9.433981132,10.29563014,9.848857802,8.94427191,8.94427191,9.433981132,8.602325267,8.062257748,8.062257748,8.062257748,8.062257748,8.062257748,7.615773106,6.708203932,6.708203932,6.708203932,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,6.32455532,5.385164807,6.32455532,5.385164807,5.385164807,5.830951895,5.385164807,5.830951895,5.830951895,5,5.830951895,5.656854249,5.656854249
1,12.52996409,11.66190379,11.18033989,11.66190379,11.66190379,10.81665383,10.81665383,10.81665383,10.81665383,10,10.81665383,10.81665383,9.433981132,9.433981132,9.433981132,10.29563014,10.29563014,9.433981132,9.433981132,9.433981132,8.602325267,8.602325267,8.602325267,8.062257748,8.062257748,8.062257748,8.062257748,7.211102551,6.708203932,7.615773106,6.708203932,7.615773106,6.708203932,6.708203932,6.708203932,6.708203932,6.708203932,6.708203932,6.708203932,5.830951895,5.830951895,5.830951895,5.830951895,5.830951895,5.830951895,5.830951895,5.656854249,5.830951895,5.656854249,5.656854249,5.656854249,5
